OG0004339: CAFRA.g5381.t1 CANGA.Cang_2012_03_13_00005.g399.t1 CBREN.CBN01020 CBRIG.CBG02720 CCAST.g5173.t1 CDOUG.g22128.t1 CELEG.T19H5.4a CJAPO.CJA11151 CKAMA.g4705.t1 CLATE.FL83_12743-RA CMONO.g19726.t1 CNOUR.g13621.t1 CPLIC.g11679.t1 CREMA.FL82_05895-RA CSINI.Csp5_scaffold_00438.g11377.t1 CSP21.g981.t1 CSP26.g20449.t1 CSP28.g12869.t1 CSP29.g6585.t1 CSP31.g27140.t1 CSP32.g14302.t1 CSP34.Sp34_20198210.t1 CSP38.g3009.t1 CSP39.g16337.t1 CSP40.g6196.t1 CTROP.Csp11.Scaffold629.g7914.t1 CVIRI.g7496.t1 DCORO.DCO_022139
OG0005220: CAFRA.g10626.t1 CANGA.Cang_2012_03_13_19383.g26228.t1 CBREN.CBN10770 CBRIG.CBG02534 CCAST.g3736.t1 CDOUG.g958.t1 CELEG.F59G1.3 CJAPO.CJA16714 CKAMA.g18875.t1 CLATE.FL83_04435-RA CMONO.g7048.t1 CNOUR.g5615.t1 CPLIC.g6372.t1 CREMA.FL82_12060-RA CSINI.Csp5_scaffold_00105.g4436.t1 CSP21.g15905.t1 CSP26.g2833.t1 CSP28.g13277.t1 CSP29.g1166.t1 CSP31.g14867.t2 CSP32.g12984.t1 CSP34.Sp34_20119300.t1 CSP38.g9290.t1 CSP39.g21879.t1 CSP40.g9737.t1 CTROP.Csp11.Scaffold629.g16404.t1 CVIRI.g5081.t1 DCORO.DCO_004811
OG0005247: CAFRA.g11613.t1 CANGA.Cang_2012_03_13_00155.g5778.t1 CBREN.CBN19835 CBRIG.CBG01745 CCAST.g1775.t1 CDOUG.g10742.t1 CELEG.E04A4.8 CJAPO.CJA02245 CKAMA.g4373.t1 CLATE.FL83_16050-RA CMONO.g2487.t1 CNOUR.g19916.t1 CPLIC.g6716.t1 CREMA.FL82_03478-RA CSINI.Csp5_scaffold_00846.g16042.t1 CSP21.g4927.t1 CSP26.g13725.t1 CSP28.g12162.t1 CSP29.g3075.t1 CSP31.g21557.t1 CSP32.g14482.t1 CSP34.Sp34_40129400.t1 CSP38.g17036.t1 CSP39.g7362.t1 CSP40.g9974.t1 CTROP.Csp11.Scaffold589.g5003.t1 CVIRI.g4543.t1 DCORO.DCO_021485
OG0005264: CAFRA.g12082.t1 CANGA.Cang_2012_03_13_00274.g8298.t1 CBREN.CBN29189 CBRIG.CBG04624 CCAST.g310.t1 CDOUG.g5501.t1 CELEG.C15H11.2a CJAPO.CJA40847c CKAMA.g224.t1 CLATE.FL83_22363-RA CMONO.g678.t1 CNOUR.g17984.t1 CPLIC.g14105.t2 CREMA.FL82_15981-RA CSINI.Csp5_scaffold_00004.g239.t1 CSP21.g10321.t1 CSP26.g5414.t1 CSP28.g3989.t1 CSP29.g5678.t1 CSP31.g10631.t1 CSP32.g14040.t1 CSP34.Sp34_50360900.t1 CSP38.g10554.t1 CSP39.g2020.t1 CSP40.g4597.t1 CTROP.Csp11.Scaffold630.g19890.t1 CVIRI.g2267.t1 DCORO.DCO_013533
OG0005273: CAFRA.g12271.t1 CANGA.Cang_2012_03_13_00101.g4353.t1 CBREN.CBN22306 CBRIG.CBG12429 CCAST.g1478.t1 CDOUG.g3751.t1 CELEG.W06D4.1 CJAPO.CJA01316 CKAMA.g2930.t1 CLATE.FL83_05146-RA CMONO.g15157.t1 CNOUR.g21267.t1 CPLIC.g8088.t1 CREMA.FL82_15710-RA CSINI.Csp5_scaffold_00453.g11569.t1 CSP21.g7364.t2 CSP26.g17014.t1 CSP28.g11342.t1 CSP29.g11140.t1 CSP31.g24518.t1 CSP32.g13059.t1 CSP34.Sp34_10116400.t1 CSP38.g4152.t1 CSP39.g3983.t1 CSP40.g24187.t1 CTROP.Csp11.Scaffold501.g2288.t1 CVIRI.g6891.t1 DCORO.DCO_011529
OG0005274: CAFRA.g12327.t1 CANGA.Cang_2012_03_13_00609.g12742.t1 CBREN.CBN28171 CBRIG.CBG00964 CCAST.g12669.t1 CDOUG.g2032.t1 CELEG.ZK1307.8.1 CJAPO.CJA14087 CKAMA.g12752.t1 CLATE.FL83_08461-RA CMONO.g3757.t1 CNOUR.g4631.t1 CPLIC.g3239.t1 CREMA.FL82_06803-RA CSINI.Csp5_scaffold_04472.g33018.t1 CSP21.g8190.t1 CSP26.g2150.t1 CSP28.g8838.t1 CSP29.g6401.t1 CSP31.g3071.t1 CSP32.g14264.t1 CSP34.Sp34_20188500.t1 CSP38.g5851.t1 CSP39.g18612.t1 CSP40.g3210.t1 CTROP.Csp11.Scaffold50.g317.t1 CVIRI.g9265.t1 DCORO.DCO_009211
OG0005294: CAFRA.g12998.t1 CANGA.Cang_2012_03_13_00433.g10794.t1 CBREN.CBN13645 CBRIG.CBG03461 CCAST.g4464.t1 CDOUG.g1607.t1 CELEG.F32B6.8b.1 CJAPO.CJA10124 CKAMA.g396.t1 CLATE.FL83_13740-RA CMONO.g5058.t1 CNOUR.g7336.t1 CPLIC.g3916.t1 CREMA.FL82_03612-RA CSINI.Csp5_scaffold_00103.g4370.t2 CSP21.g3939.t1 CSP26.g19343.t1 CSP28.g2079.t1 CSP29.g10545.t1 CSP31.g11786.t1 CSP32.g2804.t1 CSP34.Sp34_40157400.t1 CSP38.g6696.t1 CSP39.g925.t2 CSP40.g13039.t1 CTROP.Csp11.Scaffold585.g4841.t1 CVIRI.g5533.t1 DCORO.DCO_010201
OG0005307: CAFRA.g13335.t1 CANGA.Cang_2012_03_13_00243.g7756.t1 CBREN.CBN30282 CBRIG.CBG01700 CCAST.g2023.t1 CDOUG.g8155.t1 CELEG.ZK180.3a CJAPO.CJA09395 CKAMA.g4400.t1 CLATE.FL83_19297-RA CMONO.g18680.t1 CNOUR.g19957.t1 CPLIC.g8433.t1 CREMA.FL82_03444-RA CSINI.Csp5_scaffold_00099.g4247.t1 CSP21.g10382.t1 CSP26.g21234.t1 CSP28.g12195.t1 CSP29.g3111.t1 CSP31.g25999.t1 CSP32.g14522.t1 CSP34.Sp34_40124200.t1 CSP38.g17900.t1 CSP39.g2266.t2 CSP40.g12797.t1 CTROP.Csp11.Scaffold589.g4959.t1 CVIRI.g4550.t1 DCORO.DCO_010771
OG0005338: CAFRA.g14230.t1 CANGA.Cang_2012_03_13_00012.g905.t1 CBREN.CBN03847 CBRIG.CBG11959 CCAST.g4125.t1 CDOUG.g5736.t1 CELEG.D2030.5 CJAPO.CJA01875 CKAMA.g4643.t1 CLATE.FL83_12310-RA CMONO.g9155.t1 CNOUR.g8511.t1 CPLIC.g14659.t1 CREMA.FL82_08255-RA CSINI.Csp5_scaffold_00873.g16329.t1 CSP21.g2597.t1 CSP26.g4735.t1 CSP28.g13520.t1 CSP29.g17511.t1 CSP31.g17153.t1 CSP32.g11551.t1 CSP34.Sp34_10098400.t1 CSP38.g8831.t1 CSP39.g9649.t1 CSP40.g5917.t1 CTROP.Csp11.Scaffold630.g21012.t1 CVIRI.g13700.t1 DCORO.DCO_022299
OG0005381: CAFRA.g15182.t1 CANGA.Cang_2012_03_13_00225.g7376.t1 CBREN.CBN09508 CBRIG.CBG11518 CCAST.g19133.t1 CDOUG.g7693.t1 CELEG.F53F4.10 CJAPO.CJA06241 CKAMA.g2796.t1 CLATE.FL83_03776-RA CMONO.g5664.t1 CNOUR.g14777.t1 CPLIC.g11316.t1 CREMA.FL82_10895-RA CSINI.Csp5_scaffold_00119.g4855.t1 CSP21.g1892.t1 CSP26.g519.t1 CSP28.g6320.t1 CSP29.g19397.t1 CSP31.g1116.t1 CSP32.g15649.t1 CSP34.Sp34_50164500.t1 CSP38.g14116.t1 CSP39.g8645.t1 CSP40.g7710.t1 CTROP.Csp11.Scaffold629.g14139.t1 CVIRI.g4038.t1 DCORO.DCO_017639
OG0005400: CAFRA.g15698.t1 CANGA.Cang_2012_03_13_00560.g12238.t1 CBREN.CBN12860 CBRIG.CBG03824 CCAST.g4299.t1 CDOUG.g10434.t1 CELEG.T23D8.1b CJAPO.CJA18366 CKAMA.g8823.t1 CLATE.FL83_21884-RA CMONO.g8108.t1 CNOUR.g8975.t1 CPLIC.g7430.t1 CREMA.FL82_16694-RA CSINI.Csp5_scaffold_00070.g3293.t1 CSP21.g14624.t1 CSP26.g7305.t1 CSP28.g804.t1 CSP29.g13151.t1 CSP31.g26842.t1 CSP32.g8155.t1 CSP34.Sp34_10188900.t1 CSP38.g9515.t1 CSP39.g3760.t1 CSP40.g20233.t1 CTROP.Csp11.Scaffold629.g10911.t1 CVIRI.g7877.t1 DCORO.DCO_007893
OG0005405: CAFRA.g15793.t1 CANGA.Cang_2012_03_13_00087.g3926.t1 CBREN.CBN14582 CBRIG.CBG09381 CCAST.g2683.t1 CDOUG.g1880.t1 CELEG.T05C3.5 CJAPO.CJA09310 CKAMA.g1079.t1 CLATE.FL83_12037-RA CMONO.g5397.t1 CNOUR.g13170.t1 CPLIC.g3642.t1 CREMA.FL82_20365-RA CSINI.Csp5_scaffold_00402.g10812.t1 CSP21.g3857.t1 CSP26.g8896.t1 CSP28.g84.t1 CSP29.g2157.t1 CSP31.g17994.t1 CSP32.g6534.t1 CSP34.Sp34_50195100.t1 CSP38.g8258.t1 CSP39.g8422.t1 CSP40.g24642.t1 CTROP.Csp11.Scaffold629.g16174.t1 CVIRI.g4847.t1 DCORO.DCO_011679
OG0005441: CAFRA.g16667.t1 CANGA.Cang_2012_03_13_00461.g11128.t1 CBREN.CBN01116 CBRIG.CBG12778 CCAST.g13269.t1 CDOUG.g10049.t1 CELEG.F08B6.4a.1 CJAPO.CJA12321 CKAMA.g2979.t1 CLATE.FL83_13431-RA CMONO.g19007.t1 CNOUR.g11176.t1 CPLIC.g14516.t1 CREMA.FL82_12426-RA CSINI.Csp5_scaffold_01032.g17751.t1 CSP21.g10883.t1 CSP26.g19887.t1 CSP28.g5140.t1 CSP29.g10714.t1 CSP31.g4194.t1 CSP32.g6900.t1 CSP34.Sp34_10342810.t1 CSP38.g9538.t1 CSP39.g9343.t1 CSP40.g5924.t1 CTROP.Csp11.Scaffold539.g3338.t1 CVIRI.g13980.t1 DCORO.DCO_007563
OG0005487: CAFRA.g17393.t1 CANGA.Cang_2012_03_13_01104.g15690.t1 CBREN.CBN13459 CBRIG.CBG18919 CCAST.g10980.t2 CDOUG.g1496.t1 CELEG.F13H6.1b.1 CJAPO.CJA17884 CKAMA.g11821.t1 CLATE.FL83_10766-RA CMONO.g6366.t2 CNOUR.g6307.t2 CPLIC.g4429.t1 CREMA.FL82_18796-RA CSINI.Csp5_scaffold_00123.g4962.t1 CSP21.g10732.t1 CSP26.g13255.t1 CSP28.g6399.t1 CSP29.g18608.t1 CSP31.g11294.t1 CSP32.g17878.t1 CSP34.Sp34_50210700.t1 CSP38.g13805.t1 CSP39.g4370.t2 CSP40.g11741.t1 CTROP.Csp11.Scaffold630.g17550.t1 CVIRI.g550.t1 DCORO.DCO_006293
